LO,CO,T,CS,FS
0,60,1050,0,207.62
0,60,1200,0,179.01
0,60,0,0.025,182.571
0,60,100,0.025,176
0,60,300,0.025,167
0,60,600,0.025,150.465
0,60,900,0.025,134.926
0,60,1200,0.025,128.487
0,60,0,0.05,121.47
0,60,100,0.05,117.24
0,60,300,0.05,116.48
0,60,600,0.05,107.22
0,60,900,0.05,101.96
0,60,1200,0.05,93.12
0,60,0,0.1,99.93
0,60,100,0.1,92.24
0,60,300,0.1,86.76
0,60,600,0.1,80.32
0,60,750,0.1,77.9
0,60,900,0.1,78.12
0,60,1200,0.1,71.95
0,60,0,0.2,80.88
0,60,100,0.2,72.47
0,60,300,0.2,70.14
0,60,600,0.2,65.81
0,60,750,0.2,65
0,60,900,0.2,63.25
0,60,1050,0.2,60.7
0,60,1200,0.2,55.55
0,60,0,0.3,74.92
0,60,100,0.3,68.18
0,60,300,0.3,66.08
0,60,600,0.3,63.47
0,60,750,0.3,60.5
0,60,900,0.3,59.05
0,60,1200,0.3,54.03
0,60,0,0.4,70.13
0,60,100,0.4,67.63
0,60,300,0.4,65.3
0,60,600,0.4,59.71
0,60,750,0.4,59.5
0,60,900,0.4,58.51
0,60,1200,0.4,54.15
0,60,0,0.5,63.36
0,60,100,0.5,63
0,60,300,0.5,61.65
0,60,600,0.5,60.51
0,60,750,0.5,55.89
0,60,900,0.5,55.5
0,60,1200,0.5,52.66
13.9,0,0,0,191.84
13.9,0,100,0,237.77
13.9,0,300,0,225.27
13.9,0,600,0,214.11
13.9,0,900,0,155.44
13.9,0,1200,0,140.09
13.9,0,0,0.025,163.84
13.9,0,100,0.025,122.99
13.9,0,200,0.025,
13.9,0,300,0.025,116.9
13.9,0,400,0.025,
13.9,0,500,0.025,
13.9,0,600,0.025,110.15
13.9,0,700,0.025,
13.9,0,800,0.025,
13.9,0,900,0.025,98.65
13.9,0,1000,0.025,
13.9,0,1100,0.025,
13.9,0,1200,0.025,94.33
13.9,0,0,0.05,106.1
13.9,0,100,0.05,89.32
13.9,0,200,0.05,
13.9,0,300,0.05,85.95
13.9,0,400,0.05,
13.9,0,500,0.05,
13.9,0,600,0.05,80.83
13.9,0,700,0.05,
13.9,0,800,0.05,
13.9,0,900,0.05,74.38
13.9,0,1000,0.05,
13.9,0,1100,0.05,
13.9,0,1200,0.05,67.63
13.9,0,0,0.1,84.53
13.9,0,100,0.1,67.78
13.9,0,200,0.1,
13.9,0,300,0.1,63.28
13.9,0,400,0.1,
13.9,0,500,0.1,
13.9,0,600,0.1,60.27
13.9,0,700,0.1,
13.9,0,800,0.1,
13.9,0,900,0.1,55.31
13.9,0,1000,0.1,
13.9,0,1100,0.1,
13.9,0,1200,0.1,50.61
13.9,0,0,0.2,65.46
13.9,0,100,0.2,67.66
13.9,0,200,0.2,
13.9,0,300,0.2,54.14
13.9,0,400,0.2,
13.9,0,500,0.2,
13.9,0,600,0.2,55.62
13.9,0,700,0.2,
13.9,0,800,0.2,
13.9,0,900,0.2,47.1
13.9,0,1000,0.2,
13.9,0,1100,0.2,
13.9,0,1200,0.2,41.33
13.9,0,0,0.3,60.19
13.9,0,100,0.3,47.2
13.9,0,200,0.3,
13.9,0,300,0.3,46.22
13.9,0,400,0.3,
13.9,0,500,0.3,
13.9,0,600,0.3,41.65
13.9,0,700,0.3,
13.9,0,800,0.3,
13.9,0,900,0.3,40.53
13.9,0,1000,0.3,
13.9,0,1100,0.3,
13.9,0,1200,0.3,35.88
13.9,0,0,0.4,48.06
13.9,0,100,0.4,44.37
13.9,0,200,0.4,
13.9,0,300,0.4,41.13
13.9,0,400,0.4,
13.9,0,500,0.4,
13.9,0,600,0.4,38.47
13.9,0,700,0.4,
13.9,0,800,0.4,
13.9,0,900,0.4,36.28
13.9,0,1000,0.4,
13.9,0,1100,0.4,
13.9,0,1200,0.4,32.27
13.9,0,0,0.5,41.2
13.9,0,100,0.5,43.03
13.9,0,200,0.5,
13.9,0,300,0.5,36.26
13.9,0,400,0.5,
13.9,0,500,0.5,
13.9,0,600,0.5,32.58
13.9,0,700,0.5,
13.9,0,800,0.5,
13.9,0,900,0.5,33.08
13.9,0,1000,0.5,
13.9,0,1100,0.5,
13.9,0,1200,0.5,27.69
13.9,0,0,0.6,34.2
13.9,0,100,0.6,31.86
13.9,0,200,0.6,
13.9,0,300,0.6,29.73
13.9,0,400,0.6,
13.9,0,500,0.6,
13.9,0,600,0.6,27.25
13.9,0,700,0.6,
13.9,0,800,0.6,
13.9,0,900,0.6,25.16
13.9,0,1000,0.6,
13.9,0,1100,0.6,
13.9,0,1200,0.6,23.4
13.9,0,0,0.7,30.09
13.9,0,100,0.7,24.79
13.9,0,200,0.7,
13.9,0,300,0.7,23.09
13.9,0,400,0.7,
13.9,0,500,0.7,
13.9,0,600,0.7,21.19
13.9,0,700,0.7,
13.9,0,800,0.7,
13.9,0,900,0.7,19.36
13.9,0,1000,0.7,
13.9,0,1100,0.7,
13.9,0,1200,0.7,17.79
13.9,0,0,0.8,20.55
13.9,0,100,0.8,17.67
13.9,0,200,0.8,
13.9,0,300,0.8,15.59
13.9,0,400,0.8,
13.9,0,500,0.8,
13.9,0,600,0.8,15.31
13.9,0,700,0.8,
13.9,0,800,0.8,
13.9,0,900,0.8,13.36
13.9,0,1000,0.8,
13.9,0,1100,0.8,
13.9,0,1200,0.8,12.65
13.9,0,70,0.86,13.81
13.9,0,220,0.72,22.99
13.9,0,510,0.33,50.87
13.9,0,840,0.25,45.08
13.9,30,0,0.025,152.28
13.9,30,300,0.025,120.081
13.9,30,600,0.025,109.567
13.9,30,900,0.025,102.686
13.9,30,1200,0.025,100.11
13.9,30,0,0.05,99.52
13.9,30,300,0.05,87.71
13.9,30,600,0.05,85.41
13.9,30,900,0.05,75.77
