,LO,CO,T,CS,FS
571,1.0,0.0,0.25,0.11627906976744187,0.16188126952803816
608,1.0,0.0,0.08333333333333334,0.4651162790697675,0.1013320177602368
114,0.0,0.5,0.0,0.6976744186046512,0.08021706956092747
280,0.4633333333333333,0.0,0.0,0.029069767441860468,0.4972537411609933
238,0.0,1.0,0.0,0.11627906976744187,0.2870580496628844
548,1.0,0.0,0.5,0.029069767441860468,0.31676369018253575
750,1.0,0.5,0.5,0.0,0.732774214767308
98,0.0,0.5,0.25,0.3488372093023256,0.12395987502055585
493,0.4633333333333333,1.0,0.0,0.3488372093023256,0.2083867784903799
166,0.0,0.75,0.25,0.23255813953488375,0.1486926492353231
266,0.0,1.0,1.0,0.4651162790697675,0.13649070876500574
543,1.0,0.0,0.08333333333333334,0.029069767441860468,0.3533366222660746
469,0.4633333333333333,0.75,0.0,0.4651162790697675,0.1392863015951324
126,0.0,0.5,0.0,0.930232558139535,0.04196678177931261
181,0.0,0.75,0.625,0.3488372093023256,0.12021049169544483
735,1.0,1.0,1.0,0.5813953488372093,0.1391876336128926
659,1.0,0.0,0.0,0.930232558139535,0.02414076632132872
146,0.0,0.75,0.0,0.058139534883720936,0.30093734583127774
467,0.4633333333333333,0.75,0.5,0.3488372093023256,0.11731623088307845
312,0.4633333333333333,0.0,0.5,0.11627906976744187,0.15661897714191747
272,0.0,1.0,0.75,0.5813953488372093,0.14093076796579507
194,0.0,0.75,0.8750000000000001,0.4651162790697675,0.09896398618648249
59,0.0,0.0,1.0,0.813953488372093,0.018615359315901983
210,0.0,0.75,0.25,0.6976744186046512,0.10100312448610425
683,1.0,0.5,1.0,0.058139534883720936,0.19809241901003122
60,0.0,0.0,0.0,0.930232558139535,0.022101628021706954
307,0.4633333333333333,0.0,0.08333333333333334,0.11627906976744187,0.1813188620292715
690,1.0,0.5,0.5,0.4651162790697675,0.07876993915474428
164,0.0,0.75,0.08333333333333334,0.23255813953488375,0.15599407992106562
501,0.4633333333333333,1.0,0.0,0.5813953488372093,0.23193553691827
524,0.4633333333333333,0.25,0.08333333333333334,0.0,0.740404538727183
139,0.0,0.75,1.0,0.0,0.5471468508469002
119,0.0,0.5,1.0,0.6976744186046512,0.05015622430521295
477,0.4633333333333333,1.0,0.0,0.029069767441860468,0.4720703831606643
535,1.0,0.0,0.5,0.0,0.732774214767308
11,0.0,0.0,1.0,0.029069767441860468,0.25885545140601873
203,0.0,0.75,0.625,0.5813953488372093,0.1055089623417201
710,1.0,0.75,0.5,0.4651162790697675,0.11738200953790497
509,0.4633333333333333,0.5,0.75,0.0,0.4696267061338595
129,0.0,0.5,0.5,0.930232558139535,0.029403058707449428
473,0.4633333333333333,0.75,0.0,0.6976744186046512,0.10998191086992272
61,0.0,0.0,0.08333333333333334,0.930232558139535,0.014043742805459627
10,0.0,0.0,0.75,0.029069767441860468,0.2719486926492353
81,0.0,0.5,0.5,0.058139534883720936,0.23749383325111
770,1.0,1.0,0.0,0.0,0.9514553527380365
499,0.4633333333333333,1.0,0.5,0.4651162790697675,0.1558625226114126
507,0.4633333333333333,0.5,0.25,0.0,0.699292879460615
217,0.0,0.75,1.0,0.6976744186046512,0.07176451241572109
431,0.4633333333333333,0.5,0.5,0.3488372093023256,0.10613385956257194
50,0.0,0.0,0.25,0.6976744186046512,0.053806939648084195
179,0.0,0.75,0.4166666666666667,0.3488372093023256,0.12511100148001975
34,0.0,0.0,0.75,0.3488372093023256,0.09284657128761718
108,0.0,0.5,0.0,0.5813953488372093,0.09580661075481008
743,1.0,1.0,1.0,0.4651162790697675,0.12823548758427888
57,0.0,0.0,0.5,0.813953488372093,0.02752836704489392
513,0.4633333333333333,0.75,0.25,0.0,0.699292879460615
249,0.0,1.0,0.625,0.23255813953488375,0.1721756290083868
603,1.0,0.0,0.75,0.3488372093023256,0.08492024338102284
590,1.0,0.0,0.75,0.23255813953488375,0.10790988324288768
222,0.0,1.0,0.625,0.0,0.723071863180398
380,0.4633333333333333,0.0,0.75,0.6976744186046512,0.041144548593981256
111,0.0,0.5,0.5,0.5813953488372093,0.07807926327906595
271,0.0,1.0,0.625,0.5813953488372093,0.142213451734912
35,0.0,0.0,1.0,0.3488372093023256,0.08018418023351423
14,0.0,0.0,0.25,0.058139534883720936,0.23183686893603023
214,0.0,0.75,0.625,0.6976744186046512,0.0801184015786877
498,0.4633333333333333,1.0,0.25,0.4651162790697675,0.1697089294523927
