,CO,T,CS,FS,FT
164,0.4,0.6666666666666667,0.03125,0.37470449172576825,105.0
165,0.4,0.75,0.03125,0.37942447216108255,106.1582
166,0.4,0.8333333333333334,0.03125,0.3584005869405722,101.0
167,0.4,0.9166666666666667,0.03125,0.35024863454797417,99.0
168,0.4,1.0,0.03125,0.336137604956387,95.537926
169,0.4,0.0,0.0625,0.3489443221651585,98.6835
170,0.4,0.08333333333333334,0.0625,0.32505910165484625,92.8245242
171,0.4,0.16666666666666669,0.0625,0.32130920355425124,91.9
172,0.4,0.25,0.0625,0.31185293877883746,89.58048
173,0.4,0.33333333333333337,0.0625,0.30296731067090565,87.4
174,0.4,0.4166666666666667,0.0625,0.2952229558979375,85.5
175,0.4,0.5,0.0625,0.29261433113230617,84.86342
176,0.4,0.5833333333333334,0.0625,0.28340262492867035,82.6
177,0.4,0.6666666666666667,0.0625,0.27891905111274146,81.5
178,0.4,0.75,0.0625,0.27304964539007087,80.0611
179,0.4,0.8333333333333334,0.0625,0.27280508681829296,80.0
180,0.4,0.9166666666666667,0.0625,0.27158229395940325,79.7
181,0.4,1.0,0.0625,0.2716230537213662,79.7115
182,0.4,0.0,0.125,0.26281894513736037,77.55
183,0.4,0.08333333333333334,0.125,0.22682807532404006,68.72
184,0.4,0.16666666666666669,0.125,0.2204287926958506,67.15
185,0.4,0.25,0.125,0.21109480720632587,64.86
186,0.4,0.33333333333333337,0.125,0.202168419336431,62.67
187,0.4,0.4166666666666667,0.125,0.19756256623461313,61.54
188,0.4,0.5,0.125,0.19955979457079967,62.03
189,0.4,0.5833333333333334,0.125,0.19250835575120234,60.3
190,0.4,0.6666666666666667,0.125,0.1901850493193119,59.73
191,0.4,0.75,0.125,0.18215537621260286,57.76
192,0.4,0.8333333333333334,0.125,0.18105486263960216,57.49
193,0.4,0.9166666666666667,0.125,0.17237303334148524,55.36
194,0.4,1.0,0.125,0.16087878046792203,52.54
195,0.4,0.0,0.25,0.20008967147631854,62.16
196,0.4,0.08333333333333334,0.25,0.1825222140702698,57.85
198,0.4,0.25,0.25,0.1696828890519279,54.7
201,0.4,0.5,0.25,0.14918072878454386,49.67
204,0.4,0.75,0.25,0.13104263471101324,45.22
207,0.4,1.0,0.25,0.11844786826444931,42.13
208,0.4,0.0,0.375,0.1663813483329257,53.89
209,0.4,0.08333333333333334,0.375,0.15659900546180808,51.49
211,0.4,0.25,0.375,0.1519116328360642,50.34
214,0.4,0.5,0.375,0.13356973995271865,45.84
217,0.4,0.75,0.375,0.12818945137360396,44.52
220,0.4,1.0,0.375,0.10846172658351672,39.68
221,0.4,0.0,0.5,0.14437107687291104,48.49
222,0.4,0.08333333333333334,0.5,0.13670824162386888,46.61
224,0.4,0.25,0.5,0.13157251161653213,45.35
227,0.4,0.5,0.5,0.11237466373196378,40.64
230,0.4,0.75,0.5,0.09244314013206159,35.75
233,0.4,1.0,0.5,0.08710361131490987,34.44
234,0.4,0.0,0.625,0.11702127659574466,41.78
235,0.4,0.08333333333333334,0.625,0.11486100921170617,41.25
237,0.4,0.25,0.625,0.10911388277492456,39.84
240,0.4,0.5,0.625,0.09505176489769296,36.39
243,0.4,0.75,0.625,0.08726665036276185,34.48
246,0.4,1.0,0.625,0.08319067416646284,33.48
247,0.4,0.0,0.75,0.09770114942528732,37.04
248,0.4,0.08333333333333334,0.75,0.09672291513817555,36.8
